Product Title,Type,Current Price,Product URL,Original Price,Discount,Estimated Delivery,Category,Rating,Reviews
Its A Crystal Affair Tall Tealight Candle Holder - Set Of Two,Polyresin,₹924,https://vaaree.com/products/its-a-crystal-affair-tall-tealight-candle-holder-set-of-two,"₹1,386",34% off,Delivery Tomorrow,Religious & Spiritual Items,1,1 Reviews
Saraswati Devi Idol,Brass,"₹2,799",https://vaaree.com/products/saraswati-devi-idol,"₹4,199",34% off,"Sat, 1st Mar",Religious & Spiritual Items,4,4 Reviews
Shiva Sagar Idol,Metal,₹920,https://vaaree.com/products/shiva-sagar-idol,"₹2,999",70% off,"Sun, 2nd Mar",Religious & Spiritual Items,Inclusive of all taxes,Orders more than 10 Items?
Om Swastik Brass Diya,Ceramic,₹340,https://vaaree.com/products/om-swastik-brass-diya,₹499,32% off,"Sun, 2nd Mar",Religious & Spiritual Items,2,1 Reviews
Lantern Lore Tealight Candle Holder - White,Metal,₹260,https://vaaree.com/products/lantern-lore-tealight-candle-holder-white,₹999,74% off,"Sun, 2nd Mar",Religious & Spiritual Items,Inclusive of all taxes,Orders more than 10 Items?
Ethnic Mix Festive Bell - Set Of Two,,₹799,https://vaaree.com/products/ethnic-mix-festive-bell-set-of-two,₹999,20% off,"Sat, 1st Mar",Religious & Spiritual Items,Inclusive of all taxes,Orders more than 10 Items?
Shri Ganesha And Lakshmi Tealight Candle Holder - Set Of Two,,₹260,https://vaaree.com/products/shri-ganesha-and-lakshmi-tealight-candle-holder-set-of-two,₹899,72% off,"Sun, 2nd Mar",Religious & Spiritual Items,3,3 Reviews
Sugandha Herbs & Flowers Smudge Incense Sticks - Pack Of Four,,₹340,https://vaaree.com/products/sugandha-herbs-flowers-smudge-incense-sticks-pack-of-four,₹450,25% off,"Mon, 3rd Mar",Religious & Spiritual Items,Inclusive of all taxes,40 Incense Sticks (4 Packs)
Parental Bonding Showpiece - Set Of Two,Iron,₹647,https://vaaree.com/products/parental-bonding-showpiece-set-of-two,"₹1,100",42% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",3,1 Reviews
Owl Play Showpiece,Polyresin,₹849,https://vaaree.com/products/owl-play-showpiece,"₹1,274",34% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",3.3,4 Reviews
Gramophone Vibes Showpiece,Brass,₹378,https://vaaree.com/products/gramophone-vibes-showpiece,₹567,34% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",2.4,17 Reviews
Literary Escape Typography Showpiece - Set Of Two,Iron,₹485,https://vaaree.com/products/literary-escape-typography-showpiece-set-of-two,₹900,47% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",5,2 Reviews
Graceful Elegance Showpiece - Set Of Two,Iron,₹647,https://vaaree.com/products/graceful-elegance-showpiece-set-of-two,"₹1,100",42% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",4.2,5 Reviews
Whimsy Paperbag Vase - Blue,Ceramic,₹564,https://vaaree.com/products/whimsy-paperbag-vase-blue,"₹2,000",72% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",5,2 Reviews
Fika Vases - Set of Two,Ceramic,₹899,https://vaaree.com/products/fika-vases-set-of-two,"₹1,499",40% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",3.4,9 Reviews
Baby Monk Showpiece,Polyresin,₹260,https://vaaree.com/products/baby-monk-showpiece,"₹1,299",80% off,"Mon, 3rd Mar","Showpieces, Vases & Accent Bowls",4.6,8 Reviews
The Faces Vases - Set of Two,Ceramic,"₹1,499",https://vaaree.com/products/the-faces-vases-set-of-two,"₹2,499",40% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",5,2 Reviews
Law and Order Showpiece - Set Of Two,Iron,₹526,https://vaaree.com/products/law-and-order-showpiece-set-of-two,₹950,45% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",5,1 Reviews
Gramaphone Antique Showpiece,Brass,₹500,https://vaaree.com/products/gramaphone-antique-showpiece,"₹1,199",59% off,"Mon, 3rd Mar","Showpieces, Vases & Accent Bowls",2,3 Reviews
Dreams to Reality Typography Showpiece - Set Of Two,Iron,₹485,https://vaaree.com/products/dreams-to-reality-typography-showpiece-set-of-two,₹900,47% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",Inclusive of all taxes,Orders more than 10 Items?
Leafy Twist Ceramic Vase,Ceramic,₹724,https://vaaree.com/products/leafy-twist-ceramic-vase,"₹4,000",82% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",Inclusive of all taxes,Orders more than 10 Items?
Baby Monk Showpiece - Set Of Four,Polyresin,₹520,https://vaaree.com/products/baby-monk-showpiece-set-of-four,₹999,48% off,Delivery Today,"Showpieces, Vases & Accent Bowls",4.6,5 Reviews
Melrose Tribal Terracotta Vase - Set Of Three,Terracotta,"₹1,385",https://vaaree.com/products/melrose-tribal-terracotta-vase-set-of-three,"₹1,849",26% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",2.9,7 Reviews
Meow Showpiece - Black,Resin,"₹1,199",https://vaaree.com/products/meow-showpiece-black,"₹1,799",34% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",1.7,3 Reviews
Spunky Splash Vase - White,Ceramic,₹770,https://vaaree.com/products/spunky-splash-vase-white,"₹2,900",74% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",5,1 Reviews
Cricketer Showpiece - Set Of Two,Iron,₹526,https://vaaree.com/products/cricketer-showpiece-set-of-two,₹950,45% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",4.3,7 Reviews
Panther Art Grace Showpiece,Resin,"₹1,199",https://vaaree.com/products/panther-art-grace-showpiece,"₹1,799",34% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",1,1 Reviews
Spill The Milk Showpiece,Resin,₹999,https://vaaree.com/products/spill-the-milk-showpiece,"₹1,499",34% off,"Sat, 1st Mar","Showpieces, Vases & Accent Bowls",2,3 Reviews
Simplicity with Significance Typography Showpiece - Set Of Two,Iron,₹485,https://vaaree.com/products/simplicity-with-significance-typography-showpiece-set-of-two,₹900,47% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",5,1 Reviews
Deer Repose Showpiece (Green) - Set Of Two,Resin,₹999,https://vaaree.com/products/deer-repose-showpiece-green-set-of-two,"₹1,499",34% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",3,4 Reviews
Master Of Sea Showpiece,Metal,"₹2,399",https://vaaree.com/products/master-of-sea-showpiece,"₹3,999",40% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",5,1 Reviews
Sweethearts Showpiece - Gold,Aluminum,₹795,https://vaaree.com/products/sweethearts-showpiece-gold,"₹3,180",75% off,"Mon, 3rd Mar","Showpieces, Vases & Accent Bowls",5,1 Reviews
Grateful Charm Wall Plate,Iron,₹808,https://vaaree.com/products/grateful-charm-wall-plate,"₹1,999",60% off,Delivery Tomorrow,Wall Decor,4,6 Reviews
Equine Rustic Wall Art - Set Of Two,Wood,₹540,https://vaaree.com/products/equine-rustic-wall-art-set-of-two,"₹2,000",73% off,Delivery Tomorrow,Wall Decor,4.1,7 Reviews
Patra Candle Holder Wall Decor,Metal,₹987,https://vaaree.com/products/patra-candle-holder-wall-decor,"₹1,500",35% off,Delivery Tomorrow,Wall Decor,3,1 Reviews
Memories To Rejoice Photo Frames (Brown) - Set Of Ten,Acrylic Wood,"₹1,798",https://vaaree.com/products/memories-to-rejoice-photo-frames-brown-set-of-ten,"₹5,995",70% off,Delivery Tomorrow,Wall Decor,3,1 Reviews
Positive Vibes Hanging Bells,Metal,₹375,https://vaaree.com/products/postive-vibes-hanging-bells,₹615,39% off,Delivery Tomorrow,Wall Decor,5,4 Reviews
Vivid Indian Heritage Wall Art - Set Of Seven,Wood,"₹1,340",https://vaaree.com/products/vivid-indian-heritage-wall-art-set-of-seven,"₹7,000",81% off,Delivery Tomorrow,Wall Decor,4,1 Reviews
Vintage Red Frames Wall Art - Set Of Eight,MDF,"₹1,232",https://vaaree.com/products/vintage-red-frames-wall-art-set-of-eight,"₹2,354",48% off,Delivery Tomorrow,Wall Decor,4,1 Reviews
Nauko Wall Accent - Set Of Two,Iron,₹775,https://vaaree.com/products/nauko-wall-accent-set-of-two,"₹1,080",29% off,Delivery Tomorrow,Wall Decor,5,2 Reviews
Family Memories (Black) - Set Of Six,MDF,₹770,https://vaaree.com/products/family-memories-black-set-of-six,"₹2,000",62% off,"Tue, 4th Mar",Wall Decor,4.1,75 Reviews
Shyam Art Painting - Set Of Two,Wood,₹540,https://vaaree.com/products/shyam-art-painting-set-of-two,"₹2,000",73% off,Delivery Tomorrow,Wall Decor,4,2 Reviews
This Is Us Photo Frame - Set Of Five,MDF,₹718,https://vaaree.com/products/this-is-us-photo-frame-set-of-five,"₹1,000",29% off,Delivery Today,Wall Decor,4,5 Reviews
Root Riva Wall Accent,Iron,"₹1,271",https://vaaree.com/products/root-riva-wall-accent,"₹1,770",29% off,Delivery Tomorrow,Wall Decor,3.8,4 Reviews
The Explorer Wall Art - Set Of Eight,Wood,"₹1,340",https://vaaree.com/products/the-explorer-wall-art-set-of-eight,"₹2,000",33% off,Delivery Tomorrow,Wall Decor,4.5,2 Reviews
Vintage Artchitecture Wall Art - Set Of Four,MDF,"₹1,002",https://vaaree.com/products/vintage-artchitecture-wall-art-set-of-four,"₹2,354",58% off,Delivery Tomorrow,Wall Decor,3.1,7 Reviews
Ganesh Surya Wall Accent,Metal,₹540,https://vaaree.com/products/ganesh-surya-wall-accent,"₹1,099",51% off,"Sun, 2nd Mar",Wall Decor,4.5,2 Reviews
Bohemia Hanging Shelf,Cotton,₹323,https://vaaree.com/products/bohemia-hanging-shelf,"₹1,000",68% off,Delivery Tomorrow,Wall Decor,4.4,17 Reviews
Vinayaka With Bell Wall Accent,Brass,₹840,https://vaaree.com/products/vinayaka-with-bell-wall-accent,"₹1,099",24% off,"Mon, 3rd Mar",Wall Decor,2,2 Reviews
Owl Hoot Windchime,Metal,₹729,https://vaaree.com/products/owl-hoot-windchime,"₹1,019",29% off,Delivery Tomorrow,Wall Decor,5,1 Reviews
Acra Wall Accent,MDF,₹544,https://vaaree.com/products/acra-wall-accent,"₹2,000",73% off,Delivery Tomorrow,Wall Decor,3,1 Reviews
Memories To Rejoice Photo Frames (White) - Set Of Seven,Acrylic Wood,"₹1,335",https://vaaree.com/products/memories-to-rejoice-photo-frames-white-set-of-seven,"₹4,197",69% off,Delivery Tomorrow,Wall Decor,Inclusive of all taxes,Bundles
Mayoora Regal Wall Art,Wood,₹899,https://vaaree.com/products/mayoora-regal-wall-art,"₹5,000",82% off,Delivery Tomorrow,Wall Decor,1,1 Reviews
Hibiscus Bloom Wall Painting - Set Of Two,Canvas,"₹1,608",https://vaaree.com/products/hibiscus-bloom-wall-painting-set-of-two,"₹5,000",68% off,Delivery Tomorrow,Wall Decor,1.3,6 Reviews
Calm Buddha Wall Painting,Canvas,₹902,https://vaaree.com/products/calm-buddha-wall-painting,"₹5,000",82% off,Delivery Tomorrow,Wall Decor,4.5,2 Reviews
Memories Encased Photo Frame (Black) - Set Of Ten,MDF,"₹1,027",https://vaaree.com/products/memories-encased-photo-frame-black-set-of-ten,"₹2,000",49% off,Delivery Tomorrow,Wall Decor,3,2 Reviews
