ID,Product_Name,Material,Price,Product_Page,MRP_Rate,Offer,Estimated_Delivery,Category,Rating,Reviews
8032,Lantern Lore Tealight Candle Holder - White,Metal,260,https://vaaree.com/products/lantern-lore-tealight-candle-holder-white,999,74,2025-03-02,Candle Stand & Holders,0,10
3701,Shri Ganesha And Lakshmi Tealight Candle Holder - Set Of Two,Metal,260,https://vaaree.com/products/shri-ganesha-and-lakshmi-tealight-candle-holder-set-of-two,899,72,2025-03-02,Candle Stand & Holders,3,3
7027,Mitra Brass Incense Stick Holder,Brass,1113,https://vaaree.com/products/mitra-brass-incense-stick-holder,1855,40,2025-03-03,Candle Stand & Holders,0,2
5890,Trimero Crystal Tealight Candle Holder - Set Of Two,Iron,861,https://vaaree.com/products/trimero-crystal-tealight-candle-holder-set-of-two,1292,34,2025-03-02,Candle Stand & Holders,0,10
1089,Little Budha Smoke Fountain - Yellow,Polyresin,280,https://vaaree.com/products/little-budha-smoke-fountain-yellow,2999,91,2025-03-09,Candle Stand & Holders,0,4
8206,Vera Candle Holder,Resin,1099,https://vaaree.com/products/vera-candle-holder,1999,45,2025-03-03,Candle Stand & Holders,0,10
5940,Wall Hanging Jali Tealight Holder,Metal,239,https://vaaree.com/products/wall-hanging-jali-tealight-holder,699,66,2025-03-10,Candle Stand & Holders,0,10
9673,Mandir Lantern Tealight Candle Holder - Set Of Four,Iron,440,https://vaaree.com/products/mandir-lantern-tealight-candle-holder-set-of-four,660,34,2025-03-10,Candle Stand & Holders,5,1
3207,Ambuja Ethched Tealight Candle Holder - Set Of Four,Iron,899,https://vaaree.com/products/ambuja-ethched-tealight-candle-holder-set-of-four,1499,40,2025-03-04,Candle Stand & Holders,5,2
1318,Bird Nest Candle Holder - Set Of Two,Metal,459,https://vaaree.com/products/bird-nest-candle-holder-set-of-two,1000,55,2025-03-10,Candle Stand & Holders,0,10
1837,Kantha Incense Stick Holder,Brass,280,https://vaaree.com/products/kantha-incense-stick-holder,599,54,2025-03-02,Candle Stand & Holders,0,10
6978,Surya Tealight Candle Holder (Black) - Set of Two,Metal,951,https://vaaree.com/products/surya-tealight-candle-holder-black-set-of-two,2400,61,2025-03-02,Candle Stand & Holders,0,10
4348,Kaede Candle Stand - Set Of Three,Mango Wood,1331,https://vaaree.com/products/kaede-candle-stand-set-of-three,1597,17,2025-03-05,Candle Stand & Holders,0,10
4938,Vastho Tealight Candle Holder - Set Of Two,Iron,339,https://vaaree.com/products/vastho-tealight-candle-holder-set-of-two,999,67,2025-03-10,Candle Stand & Holders,0,5
1969,Baby Buddha Monk Smoke Fountain - Green & Brown,Polyresin,280,https://vaaree.com/products/baby-buddha-monk-smoke-fountain-green-brown,2999,91,2025-03-03,Candle Stand & Holders,0,10
7797,Zeus Wall Clock,Plastic,699,https://vaaree.com/products/zeus-wall-clock,1499,54,2025-03-10,Clocks,0,30
4909,Norva Floral Wall Clock,Iron,1947,https://vaaree.com/products/norva-floral-wall-clock,2920,34,2025-03-10,Clocks,0,7
9826,Nikita Sweep Silent Wall Clock,Plastic,699,https://vaaree.com/products/nikita-sweep-silent-wall-clock,1499,54,2025-03-10,Clocks,0,3
3378,Regal Roma Wall Clock,Papier Mache,1240,https://vaaree.com/products/regal-roma-wall-clock,1899,35,2025-03-02,Clocks,1,2
7507,Yvonne Printed Silent Wall Clock,Plastic,699,https://vaaree.com/products/yvonne-sweep-silent-wall-clock,1499,54,2025-03-10,Clocks,0,17
2333,Maris Sweep Silent Wall Clock,Plastic,699,https://vaaree.com/products/maris-sweep-silent-wall-clock,1499,54,2025-03-10,Clocks,1,3
1315,Calypso Table Clock - Black,Aluminum,2325,https://vaaree.com/products/calypso-table-clock-black,3125,26,2025-03-10,Clocks,5,1
8767,Classic Charm Wall Clock,Plastic,699,https://vaaree.com/products/classic-charm-wall-clock,1499,54,2025-03-10,Clocks,0,5
7333,Liam Sweep Silent Wall Clock,Plastic,499,https://vaaree.com/products/liam-sweep-silent-wall-clock,1425,65,2025-03-10,Clocks,0,10
6527,Ocea Wall Clock,Iron,1099,https://vaaree.com/products/ocea-wall-clock,1649,34,2025-03-10,Clocks,0,6
6083,Soren Sweep Silent Wall Clock,Plastic,699,https://vaaree.com/products/soren-sweep-silent-wall-clock,1499,54,2025-03-10,Clocks,3,1
5490,Time Machine Wall Clock,Plastic,699,https://vaaree.com/products/time-machine-wall-clock,1499,54,2025-03-10,Clocks,0,9
2040,Leonay Table Clock,Aluminum,2232,https://vaaree.com/products/leonay-table-clock,3000,26,2025-03-04,Clocks,5,1
2376,Ondene Flower Wall Clock,Iron,1890,https://vaaree.com/products/ondene-flower-wall-clock,2849,34,2025-03-10,Clocks,1,1
9483,Urban Edge Silent Wall Clock - Green,Plastic,699,https://vaaree.com/products/urban-edge-wall-clock-green,1499,54,2025-03-10,Clocks,0,2
9032,Full Maverick Wall Clock,Wood,749,https://vaaree.com/products/full-maverick-wall-clock,3495,79,2025-03-03,Clocks,0,2
5378,Sireen Wall Clock,Iron,1890,https://vaaree.com/products/sireen-wall-clock,2835,34,2025-03-10,Clocks,2,1
3832,Calypso Table Clock - Gold,Aluminum,2325,https://vaaree.com/products/calypso-table-clock-gold,3125,26,2025-03-04,Clocks,5,3
5322,Linus Table Clock,Metal,1080,https://vaaree.com/products/linus-table-clock,1699,37,2025-03-02,Clocks,5,1
8849,Sandy Beach Wall Clock,Plastic,699,https://vaaree.com/products/sandy-beach-wall-clock,1499,54,2025-03-03,Clocks,0,2
8540,Dolva Double Sided Station Clock - Black,Metal,1520,https://vaaree.com/products/dolva-double-sided-station-clock-black,2095,28,2025-03-02,Clocks,5,1
7375,Alice Table Clock,Aluminum,4400,https://vaaree.com/products/alice-table-clock,5280,17,2025-03-03,Clocks,0,1
1412,Avery Golda Wall Clock,Plastic,699,https://vaaree.com/products/avery-golda-wall-clock,1499,54,2025-03-10,Clocks,4,5
8249,Artistic Wall Clock - Brown,Plastic,999,https://vaaree.com/products/artistic-wall-clock-brown,1499,34,2025-03-03,Clocks,0,11
3441,Fionna Carved Table Lamp,Fabric Shade,1279,https://vaaree.com/products/fionna-carved-table-lamp,3200,60,2025-03-10,Lamps & Lighting,0,11
2641,Adiah Wall Lamp,Glass Shade,1117,https://vaaree.com/products/adiah-wall-lamp,2900,62,2025-03-10,Lamps & Lighting,0,4
1014,Lueur Table Lamp - Beige,Fabric Shade,1499,https://vaaree.com/products/lueur-table-lamp-beige,3200,54,2025-03-10,Lamps & Lighting,0,5
2407,Rose Elegance String Light,Foam,399,https://vaaree.com/products/rose-elegance-string-light,1200,67,2025-03-10,Lamps & Lighting,0,9
7166,Warm Glow Curtain Lights,Plastic,799,https://vaaree.com/products/warm-glow-curtain-lights,2500,68,2025-03-10,Lamps & Lighting,0,3
8786,Timber Floor Lamp - Gold & White,Fabric Shade,1849,https://vaaree.com/products/timber-floor-lamp-gold-white,7000,74,2025-03-02,Lamps & Lighting,0,4
5700,Fadeela Terracotta Table Lamp,Fabric Shade,2080,https://vaaree.com/products/fadeela-terracotta-table-lamp,2849,27,2025-03-10,Lamps & Lighting,0,4
3234,Gracie Bell Black Table Lamp,Fabric Shade,649,https://vaaree.com/products/gracie-bell-black-table-lamp,2450,74,2025-03-10,Lamps & Lighting,0,3
8490,Saffia Table Lamp,Fabric Shade,799,https://vaaree.com/products/saffia-table-lamp,1799,56,2025-03-02,Lamps & Lighting,0,5
8948,Baroque Table Lamp - Beige,Fabric Shade,1399,https://vaaree.com/products/baroque-table-lamp-beige,3000,54,2025-03-10,Lamps & Lighting,0,3
5369,Moon Gooseneck Wall Lamp - Set Of Two,Glass Shade,759,https://vaaree.com/products/moon-gooseneck-wall-lamp-set-of-two,2500,70,2025-03-03,Lamps & Lighting,0,16
8812,Dapper Diamond Wall Lamp - Black,Metal Shade,547,https://vaaree.com/products/dapper-diamond-wall-lamp-black,1800,70,2025-03-10,Lamps & Lighting,0,1
4956,Mystne Ceiling Lamp - Large,Rattan Shade,1279,https://vaaree.com/products/mystne-ceiling-lamp-large,5000,75,2025-03-02,Lamps & Lighting,0,3
8621,Tall Tales Blue Wood Table Lamp,Fabric Shade,1425,https://vaaree.com/products/tall-tales-blue-wood-table-lamp,5000,72,2025-03-10,Lamps & Lighting,0,1
